Date,MDLZ
3/2/2015,36.89
3/3/2015,36.64
3/4/2015,36.44
3/5/2015,36.51
3/6/2015,35.22
3/9/2015,35.42
3/10/2015,34.5
3/11/2015,34.34
3/12/2015,35
3/13/2015,34.51
3/16/2015,34.71
3/17/2015,34.36
3/18/2015,35.02
3/19/2015,34.66
3/20/2015,34.74
3/23/2015,35.3
3/24/2015,35.01
3/25/2015,35.81
3/26/2015,35.08
3/27/2015,35.55
3/30/2015,36.5
3/31/2015,36.09
4/1/2015,36.3
4/2/2015,36.63
4/6/2015,37
4/7/2015,37
4/8/2015,37.39
4/9/2015,37.38
4/10/2015,37.4
4/13/2015,37.25
4/14/2015,37.47
4/15/2015,37.55
4/16/2015,37.31
4/17/2015,36.97
4/20/2015,36.99
4/21/2015,36.53
4/22/2015,36.83
4/23/2015,36.81
4/24/2015,36.82
4/27/2015,36.8
4/28/2015,36.8
4/29/2015,38.7
4/30/2015,38.37
5/1/2015,38.65
5/4/2015,38.62
5/5/2015,38.32
5/6/2015,38.45
5/7/2015,38.98
5/8/2015,39.44
5/11/2015,39.33
5/12/2015,39.31
5/13/2015,39.31
5/14/2015,40.05
5/15/2015,40.45
5/18/2015,40
5/19/2015,40.25
5/20/2015,40.66
5/21/2015,40.31
5/22/2015,40.17
5/26/2015,39.94
5/27/2015,40.14
5/28/2015,40.47
5/29/2015,41.59
6/1/2015,40.69
6/2/2015,40.8
6/3/2015,41.03
6/4/2015,40.42
6/5/2015,40.02
6/8/2015,40.05
6/9/2015,40.22
6/10/2015,40.37
6/11/2015,40.36
6/12/2015,40.47
6/15/2015,40.11
6/16/2015,40.74
6/17/2015,40.79
6/18/2015,40.85
6/19/2015,41.04
6/22/2015,41.05
6/23/2015,41.1
6/24/2015,41.08
6/25/2015,41.08
6/26/2015,41.11
6/29/2015,40.84
6/30/2015,41.14
7/1/2015,41.61
7/2/2015,41.55
7/6/2015,41.26
7/7/2015,41.78
7/8/2015,41.41
7/9/2015,41.25
7/10/2015,41.41
7/13/2015,41.6
7/14/2015,41.88
7/15/2015,41.34
7/16/2015,41.97
7/17/2015,41.89
7/20/2015,41.81
7/21/2015,42.07
7/22/2015,42.25
7/23/2015,42.12
7/24/2015,42.03
7/27/2015,42.03
7/28/2015,42.8
7/29/2015,43.1
7/30/2015,45.27
7/31/2015,45.13
8/3/2015,45.49
8/4/2015,45.6
8/5/2015,46.29
8/6/2015,46.81
8/7/2015,46.11
8/10/2015,46.41
8/11/2015,46.1
8/12/2015,46.53
8/13/2015,46.01
8/14/2015,46.49
8/17/2015,46.2
8/18/2015,46.15
8/19/2015,45.21
8/20/2015,44
8/21/2015,43.2
8/24/2015,41.96
8/25/2015,41.31
8/26/2015,42.2
8/27/2015,42.76
8/28/2015,42.8
8/31/2015,42.36
9/1/2015,41.01
9/2/2015,42.27
9/3/2015,43.24
9/4/2015,42.57
9/8/2015,42.93
9/9/2015,41.99
9/10/2015,42.38
9/11/2015,42.68
9/14/2015,42.28
9/15/2015,42.99
9/16/2015,43.04
9/17/2015,43.72
9/18/2015,42.85
9/21/2015,42.85
9/22/2015,41.99
9/23/2015,42.28
9/24/2015,42.13
9/25/2015,42.8
9/28/2015,41.47
9/29/2015,40.81
9/30/2015,41.87
10/1/2015,42.21
10/2/2015,43.56
10/5/2015,44.29
10/6/2015,43.9
10/7/2015,44.33
10/8/2015,45.31
10/9/2015,45
10/12/2015,45.05
10/13/2015,44.84
10/14/2015,44.74
10/15/2015,44.98
10/16/2015,45.85
10/19/2015,46.42
10/20/2015,45.74
10/21/2015,45.45
10/22/2015,46.94
10/23/2015,46.53
10/26/2015,46.8
10/27/2015,46.6
10/28/2015,46.4
10/29/2015,46.28
10/30/2015,46.16
11/2/2015,46.44
11/3/2015,46.4
11/4/2015,45.88
11/5/2015,45.88
11/6/2015,44.88
11/9/2015,44.39
11/10/2015,44.59
11/11/2015,44.47
11/12/2015,43.64
11/13/2015,43.27
11/16/2015,44.06
11/17/2015,43.82
11/18/2015,44.48
11/19/2015,44.58
11/20/2015,43.95
11/23/2015,44.08
11/24/2015,43.98
11/25/2015,43.93
11/27/2015,44.42
11/30/2015,43.66
12/1/2015,44.32
12/2/2015,43.86
12/3/2015,42.61
12/4/2015,44.5
12/7/2015,44.03
12/8/2015,44
12/9/2015,43.65
12/10/2015,43.98
12/11/2015,42.73
12/14/2015,43.32
12/15/2015,44.02
12/16/2015,44.85
12/17/2015,44.36
12/18/2015,43.3
12/21/2015,44.44
12/22/2015,44.71
12/23/2015,45.58
12/24/2015,45.35
12/28/2015,45.07
12/29/2015,45.75
12/30/2015,45.51
12/31/2015,44.84
1/4/2016,43.79
1/5/2016,44.15
1/6/2016,43.99
1/7/2016,41.59
1/8/2016,40.99
1/11/2016,41.68
1/12/2016,42.12
1/13/2016,40.59
1/14/2016,41.36
1/15/2016,40.31
1/19/2016,41.46
1/20/2016,40.67
1/21/2016,40.33
1/22/2016,41.6
1/25/2016,40.2
1/26/2016,41.35
1/27/2016,41.12
1/28/2016,41.55
1/29/2016,43.1
2/1/2016,42.73
2/2/2016,41.95
2/3/2016,39.23
2/4/2016,38.02
2/5/2016,37.7
2/8/2016,36.34
2/9/2016,37.05
2/10/2016,38.03
2/11/2016,37.68
2/12/2016,38.1
2/16/2016,39.12
2/17/2016,39.81
2/18/2016,39.96
2/19/2016,39.81
2/22/2016,39.7
2/23/2016,40.07
2/24/2016,40.76
2/25/2016,41.58
2/26/2016,40.69
2/29/2016,40.53
3/1/2016,41.33
3/2/2016,41.22
3/3/2016,41.88
3/4/2016,42.13
3/7/2016,41.73
3/8/2016,41.38
3/9/2016,41.95
3/10/2016,41.67
3/11/2016,42.36
3/14/2016,42.24
3/15/2016,41.64
3/16/2016,41.72
3/17/2016,40.78
3/18/2016,40.74
3/21/2016,40.69
3/22/2016,39.91
3/23/2016,39.94
3/24/2016,39.51
3/28/2016,39.44
3/29/2016,40.1
3/30/2016,40.46
3/31/2016,40.12
4/1/2016,41.24
4/4/2016,41.22
4/5/2016,41.03
4/6/2016,41.88
4/7/2016,41.52
4/8/2016,42.32
4/11/2016,42.16
4/12/2016,42.4
4/13/2016,42.7
4/14/2016,42.16
4/15/2016,43.02
4/18/2016,43.25
4/19/2016,43.26
4/20/2016,43.17
4/21/2016,41.9
4/22/2016,42.19
4/25/2016,42.26
4/26/2016,42.5
4/27/2016,43.88
4/28/2016,43.38
4/29/2016,42.96
5/2/2016,44.31
5/3/2016,43.67
5/4/2016,43.67
5/5/2016,43.92
5/6/2016,43.93
5/9/2016,44.28
5/10/2016,45.04
5/11/2016,44.4
5/12/2016,44.85
5/13/2016,44.36
5/16/2016,44.52
5/17/2016,43.25
5/18/2016,43.24
5/19/2016,43.27
5/20/2016,43.36
5/23/2016,43.19
5/24/2016,44.15
5/25/2016,44.22
5/26/2016,44.35
5/27/2016,44.78
5/31/2016,44.49
6/1/2016,44.83
6/2/2016,45.07
6/3/2016,45.24
6/6/2016,45.12
6/7/2016,45.33
6/8/2016,45.05
6/9/2016,45.22
6/10/2016,45.02
6/13/2016,44.17
6/14/2016,44.02
6/15/2016,43.83
6/16/2016,44.23
6/17/2016,44.04
6/20/2016,44.23
6/21/2016,44.48
6/22/2016,44.18
6/23/2016,44.85
6/24/2016,42.27
6/27/2016,41.38
6/28/2016,41.85
6/29/2016,42.97
6/30/2016,45.51
7/1/2016,45.11
7/5/2016,44.9
7/6/2016,45.2
7/7/2016,45.17
7/8/2016,46.1
7/11/2016,45.85
7/12/2016,45.73
7/13/2016,45.6
7/14/2016,45.68
7/15/2016,45.39
7/18/2016,45.42
7/19/2016,45.58
7/20/2016,45.17
7/21/2016,45.18
7/22/2016,45.13
7/25/2016,45.76
7/26/2016,45.25
7/27/2016,43.94
