Date,OXY
3/2/2015,77.71
3/3/2015,77.98
3/4/2015,78.3
3/5/2015,77.46
3/6/2015,74.74
3/9/2015,74.77
3/10/2015,73.79
3/11/2015,74.23
3/12/2015,74.55
3/13/2015,72.81
3/16/2015,73.08
3/17/2015,72.33
3/18/2015,73.98
3/19/2015,71.84
3/20/2015,72.69
3/23/2015,72.83
3/24/2015,72.42
3/25/2015,73.69
3/26/2015,73.7
3/27/2015,72.69
3/30/2015,73.95
3/31/2015,72.97
4/1/2015,74.21
4/2/2015,74.52
4/6/2015,76.48
4/7/2015,76.78
4/8/2015,76.57
4/9/2015,77.8
4/10/2015,78.42
4/13/2015,77.71
4/14/2015,79.27
4/15/2015,81.48
4/16/2015,81.34
4/17/2015,80.5
4/20/2015,80.34
4/21/2015,79.42
4/22/2015,79.56
4/23/2015,80.01
4/24/2015,79.74
4/27/2015,79.4
4/28/2015,79.67
4/29/2015,80.08
4/30/2015,80.07
5/1/2015,80.47
5/4/2015,80
5/5/2015,78.59
5/6/2015,79.39
5/7/2015,77.58
5/8/2015,77.87
5/11/2015,76.65
5/12/2015,76.65
5/13/2015,76.14
5/14/2015,76.26
5/15/2015,76.81
5/18/2015,77.21
5/19/2015,75.81
5/20/2015,76.59
5/21/2015,76.92
5/22/2015,76.98
5/26/2015,76.69
5/27/2015,76.79
5/28/2015,77.7
5/29/2015,78.16
6/1/2015,78.86
6/2/2015,79.41
6/3/2015,78.34
6/4/2015,77.27
6/5/2015,79.06
6/8/2015,77.2
6/9/2015,77.45
6/10/2015,78.8
6/11/2015,78.86
6/12/2015,77.75
6/15/2015,77.42
6/16/2015,78.48
6/17/2015,78.77
6/18/2015,79.07
6/19/2015,77.94
6/22/2015,78.76
6/23/2015,79.37
6/24/2015,79.29
6/25/2015,78.5
6/26/2015,79.18
6/29/2015,77.34
6/30/2015,77.74
7/1/2015,75.92
7/2/2015,75.7
7/6/2015,73.87
7/7/2015,74.17
7/8/2015,72.51
7/9/2015,73.09
7/10/2015,73.28
7/13/2015,73.42
7/14/2015,74.25
7/15/2015,73.06
7/16/2015,72.47
7/17/2015,71.89
7/20/2015,70.23
7/21/2015,70.19
7/22/2015,69.44
7/23/2015,69.66
7/24/2015,68.39
7/27/2015,67.73
7/28/2015,69.59
7/29/2015,70.83
7/30/2015,71.37
7/31/2015,70.17
8/3/2015,69.37
8/4/2015,69
8/5/2015,68.63
8/6/2015,69.39
8/7/2015,68.75
8/10/2015,71.25
8/11/2015,71.45
8/12/2015,73.7
8/13/2015,72.9
8/14/2015,73.37
8/17/2015,73.71
8/18/2015,73.76
8/19/2015,72.13
8/20/2015,70.44
8/21/2015,69.23
8/24/2015,65.7
8/25/2015,65.72
8/26/2015,67.12
8/27/2015,70.53
8/28/2015,71.81
8/31/2015,72.98
9/1/2015,69.98
9/2/2015,71.05
9/3/2015,70.83
9/4/2015,69.62
9/8/2015,69.47
9/9/2015,67.61
9/10/2015,67.71
9/11/2015,66.87
9/14/2015,66.16
9/15/2015,66.72
9/16/2015,68.36
9/17/2015,68.31
9/18/2015,66.81
9/21/2015,66.77
9/22/2015,65.73
9/23/2015,64.79
9/24/2015,65.05
9/25/2015,66.09
9/28/2015,63.61
9/29/2015,64.44
9/30/2015,66.12
10/1/2015,65.94
10/2/2015,68.76
10/5/2015,70.62
10/6/2015,71.56
10/7/2015,71.86
10/8/2015,74.04
10/9/2015,73.57
10/12/2015,73.01
10/13/2015,72.68
10/14/2015,73.87
10/15/2015,74.69
10/16/2015,74.2
10/19/2015,72.68
10/20/2015,72.55
10/21/2015,71.98
10/22/2015,74.31
10/23/2015,73.68
10/26/2015,71.63
10/27/2015,70.17
10/28/2015,73.78
10/29/2015,74.1
10/30/2015,74.51
11/2/2015,75.55
11/3/2015,76.57
11/4/2015,75.73
11/5/2015,75.68
11/6/2015,75.07
11/9/2015,75.18
11/10/2015,76.23
11/11/2015,75.59
11/12/2015,73.11
11/13/2015,73.48
11/16/2015,74.94
11/17/2015,74.22
11/18/2015,75.74
11/19/2015,75.27
11/20/2015,74.06
11/23/2015,74.07
11/24/2015,75.87
11/25/2015,75.35
11/27/2015,75.16
11/30/2015,75.56
12/1/2015,76.66
12/2/2015,75.28
12/3/2015,72.4
12/4/2015,71.69
12/7/2015,69.29
12/8/2015,67.27
12/9/2015,67.92
12/10/2015,68.39
12/11/2015,66
12/14/2015,66.62
12/15/2015,68.41
12/16/2015,68.84
12/17/2015,66.39
12/18/2015,65.93
12/21/2015,66.11
12/22/2015,66.95
12/23/2015,69.18
12/24/2015,69.17
12/28/2015,67.96
12/29/2015,68.16
12/30/2015,66.99
12/31/2015,67.58
1/4/2016,67.38
1/5/2016,68.5
1/6/2016,65.41
1/7/2016,64.23
1/8/2016,63.14
1/11/2016,61.2
1/12/2016,60.95
1/13/2016,60.38
1/14/2016,63.97
1/15/2016,62.76
1/19/2016,61.44
1/20/2016,59.6
1/21/2016,60.83
1/22/2016,63.77
1/25/2016,61.76
1/26/2016,63.2
1/27/2016,64.13
1/28/2016,65.84
1/29/2016,68.8
2/1/2016,66.53
2/2/2016,65.45
2/3/2016,68.1
2/4/2016,66.95
