Date,WFC
3/2/2015,55.55
3/3/2015,55.45
3/4/2015,54.82
3/5/2015,54.84
3/6/2015,54.59
3/9/2015,54.67
3/10/2015,53.29
3/11/2015,53.7
3/12/2015,55.59
3/13/2015,55.34
3/16/2015,55.73
3/17/2015,55.91
3/18/2015,56.17
3/19/2015,55.51
3/20/2015,56.01
3/23/2015,55.78
3/24/2015,55.35
3/25/2015,54.54
3/26/2015,54.5
3/27/2015,54.12
3/30/2015,54.77
3/31/2015,54.4
4/1/2015,53.94
4/2/2015,54.37
4/6/2015,54.08
4/7/2015,54.02
4/8/2015,54
4/9/2015,54.19
4/10/2015,54.32
4/13/2015,54.59
4/14/2015,54.19
4/15/2015,54.81
4/16/2015,54.81
4/17/2015,54.05
4/20/2015,54.36
4/21/2015,54.28
4/22/2015,54.67
4/23/2015,54.86
4/24/2015,54.7
4/27/2015,54.97
4/28/2015,55.41
4/29/2015,55.46
4/30/2015,55.1
5/1/2015,55.19
5/4/2015,55.73
5/5/2015,55.72
5/6/2015,54.92
5/7/2015,54.81
5/8/2015,56.05
5/11/2015,55.51
5/12/2015,55.47
5/13/2015,55.6
5/14/2015,56.04
5/15/2015,55.52
5/18/2015,55.75
5/19/2015,56.4
5/20/2015,56.08
5/21/2015,56.01
5/22/2015,56
5/26/2015,55.66
5/27/2015,56.07
5/28/2015,56.21
5/29/2015,55.96
6/1/2015,56.04
6/2/2015,56.18
6/3/2015,56.91
6/4/2015,56.14
6/5/2015,56.61
6/8/2015,56.12
6/9/2015,56.7
6/10/2015,57.21
6/11/2015,57.26
6/12/2015,57.09
6/15/2015,56.98
6/16/2015,57.22
6/17/2015,57.17
6/18/2015,57.7
6/19/2015,57.05
6/22/2015,57.91
6/23/2015,57.89
6/24/2015,57.54
6/25/2015,57.17
6/26/2015,57.44
6/29/2015,56.06
6/30/2015,56.24
7/1/2015,56.91
7/2/2015,56.74
7/6/2015,56.44
7/7/2015,56.25
7/8/2015,55.25
7/9/2015,55.5
7/10/2015,56.08
7/13/2015,56.74
7/14/2015,57.25
7/15/2015,57.78
7/16/2015,58.17
7/17/2015,57.94
7/20/2015,58.05
7/21/2015,57.95
7/22/2015,58.52
7/23/2015,58.21
7/24/2015,57.78
7/27/2015,57.59
7/28/2015,57.4
7/29/2015,57.96
7/30/2015,58.15
7/31/2015,57.87
8/3/2015,57.91
8/4/2015,57.82
8/5/2015,57.65
8/6/2015,57.53
8/7/2015,57.47
8/10/2015,57.94
8/11/2015,57.21
8/12/2015,56.72
8/13/2015,56.89
8/14/2015,57.33
8/17/2015,57.35
8/18/2015,57.54
8/19/2015,57.06
8/20/2015,56.12
8/21/2015,53.97
8/24/2015,51.25
8/25/2015,50.02
8/26/2015,52.3
8/27/2015,54.03
8/28/2015,53.54
8/31/2015,53.33
9/1/2015,50.99
9/2/2015,51.99
9/3/2015,52.43
9/4/2015,51.29
9/8/2015,52.93
9/9/2015,52.19
9/10/2015,52.56
9/11/2015,52.62
9/14/2015,52.77
9/15/2015,53.47
9/16/2015,53.72
9/17/2015,52.21
9/18/2015,51.04
9/21/2015,51.55
9/22/2015,50.69
9/23/2015,50.78
9/24/2015,50.55
9/25/2015,51.48
9/28/2015,50.37
9/29/2015,50.89
9/30/2015,51.35
10/1/2015,51.44
10/2/2015,51.26
10/5/2015,52.41
10/6/2015,52.03
10/7/2015,52.19
10/8/2015,52.54
10/9/2015,52.14
10/12/2015,52.18
10/13/2015,51.86
10/14/2015,51.5
10/15/2015,52.69
10/16/2015,52.88
10/19/2015,52.56
10/20/2015,53.08
10/21/2015,53.12
10/22/2015,54.06
10/23/2015,54.75
10/26/2015,54.29
10/27/2015,54.12
10/28/2015,55.45
10/29/2015,55.09
10/30/2015,54.14
11/2/2015,54.85
11/3/2015,54.93
11/4/2015,54.58
11/5/2015,54.86
11/6/2015,55.85
11/9/2015,55.47
11/10/2015,55.91
11/11/2015,55.8
11/12/2015,55.17
11/13/2015,54.57
11/16/2015,55.27
11/17/2015,54.96
11/18/2015,55.67
11/19/2015,55.97
11/20/2015,55.82
11/23/2015,55.6
11/24/2015,55.28
11/25/2015,55.22
11/27/2015,55.39
11/30/2015,55.1
12/1/2015,55.71
12/2/2015,55.08
12/3/2015,54.2
12/4/2015,55.67
12/7/2015,55.42
12/8/2015,54.4
12/9/2015,54.12
12/10/2015,54.34
12/11/2015,53.31
12/14/2015,53.2
12/15/2015,54.91
12/16/2015,55.85
12/17/2015,55.47
12/18/2015,53.79
12/21/2015,54.02
12/22/2015,54.34
12/23/2015,55.04
12/24/2015,54.82
12/28/2015,54.68
12/29/2015,55.29
12/30/2015,54.89
12/31/2015,54.36
1/4/2016,52.91
1/5/2016,52.89
1/6/2016,51.88
1/7/2016,50.4
1/8/2016,49.56
1/11/2016,50.09
1/12/2016,51.36
1/13/2016,49.73
1/14/2016,50.64
1/15/2016,48.82
1/19/2016,48.21
1/20/2016,47.87
1/21/2016,48.01
1/22/2016,49.02
1/25/2016,47.66
1/26/2016,48.26
1/27/2016,48.57
1/28/2016,48.92
1/29/2016,50.23
2/1/2016,49.94
2/2/2016,48.83
2/3/2016,47.6
2/4/2016,48.25
2/5/2016,47.86
2/8/2016,46.5
2/9/2016,46.45
2/10/2016,46.17
2/11/2016,45.16
2/12/2016,47.31
2/16/2016,48.24
2/17/2016,48.13
2/18/2016,47.73
2/19/2016,48.09
2/22/2016,49.19
2/23/2016,48.1
2/24/2016,47.61
2/25/2016,47.75
2/26/2016,48.07
2/29/2016,46.92
3/1/2016,48.72
3/2/2016,49.57
3/3/2016,49.77
3/4/2016,50.11
3/7/2016,50.07
3/8/2016,49.05
3/9/2016,48.79
3/10/2016,48.51
3/11/2016,50.07
3/14/2016,49.88
3/15/2016,49.98
3/16/2016,49.54
3/17/2016,49.73
3/18/2016,50.54
3/21/2016,50.67
3/22/2016,50.37
3/23/2016,49.76
3/24/2016,48.9
3/28/2016,48.7
3/29/2016,48.05
3/30/2016,48.65
3/31/2016,48.36
4/1/2016,48.45
4/4/2016,48.5
4/5/2016,47.51
4/6/2016,48.08
4/7/2016,46.93
4/8/2016,47.07
4/11/2016,47.03
4/12/2016,47.77
4/13/2016,49.03
4/14/2016,48.79
4/15/2016,48.25
4/18/2016,48.84
4/19/2016,49.88
4/20/2016,50.45
4/21/2016,50.05
4/22/2016,50.62
4/25/2016,50.51
4/26/2016,50.92
4/27/2016,50.93
4/28/2016,50.41
4/29/2016,49.98
5/2/2016,50.59
5/3/2016,50
5/4/2016,48.94
5/5/2016,48.96
5/6/2016,49.02
5/9/2016,48.88
5/10/2016,49.4
5/11/2016,49.08
5/12/2016,49.2
5/13/2016,48.24
5/16/2016,48.27
5/17/2016,47.62
5/18/2016,48.65
5/19/2016,48.38
5/20/2016,48.75
5/23/2016,48.7
5/24/2016,49.2
5/25/2016,50.5
5/26/2016,50.55
5/27/2016,50.85
5/31/2016,50.72
6/1/2016,51
6/2/2016,51.11
6/3/2016,50.19
6/6/2016,50.49
6/7/2016,50.27
6/8/2016,50
6/9/2016,49.14
6/10/2016,48.34
6/13/2016,47.97
6/14/2016,46.88
6/15/2016,46.78
6/16/2016,46.85
6/17/2016,46.6
6/20/2016,46.93
6/21/2016,47.23
6/22/2016,46.97
